station_id,station_name,district,latitude,longitude,location_type,capacity,peak_hours,peak_days,usage_intensity
S001,Dongdaemun Station 6,Dongdaemun,37.66757571387682,127.08147953362021,mixed,23,"8,9,12,13,17,18,19",all,0.68
S002,Mapo Station 8,Mapo,37.588223565003815,127.0955227927483,mixed,30,"8,9,12,13,17,18,19",all,0.52
S003,Dongdaemun Station 8,Dongdaemun,37.67304271080908,126.84950139012302,mixed,39,"8,9,12,13,17,18,19",all,0.6
S004,Yeongdeungpo Station 6,Yeongdeungpo,37.696971774747745,127.0883416434164,mixed,22,"8,9,12,13,17,18,19",all,0.49
S005,Gangnam Station 10,Gangnam,37.62813879041022,127.15891915530254,business,49,"8,9,17,18,19",weekday,0.99
S006,Seodaemun Station 5,Seodaemun,37.43819619465521,126.84655103477292,transit,57,"7,8,9,17,18,19,20",weekday,0.62
S007,Yeongdeungpo Station 10,Yeongdeungpo,37.532442466199136,127.08839371701286,transit,32,"7,8,9,17,18,19,20",weekday,0.83
S008,Yongsan Station 3,Yongsan,37.65459120587931,127.06342880184106,recreation,24,"10,11,12,13,14,15,16,17",weekend,0.64
S009,Yongsan Station 10,Yongsan,37.48455937482541,126.96942955537403,mixed,34,"8,9,12,13,17,18,19",all,0.55
S010,Dongdaemun Station 10,Dongdaemun,37.652579904970175,126.80316818422352,mixed,32,"8,9,12,13,17,18,19",all,0.4
S011,Eunpyeong Station 6,Eunpyeong,37.453694853369804,126.80987776710315,recreation,28,"10,11,12,13,14,15,16,17",weekend,0.66
S012,Seocho Station 6,Seocho,37.43314470000139,127.12096586367946,residential,23,"7,8,18,19,20",all,0.68
S013,Eunpyeong Station 7,Eunpyeong,37.52754537121755,127.17605934910027,recreation,21,"10,11,12,13,14,15,16,17",weekend,0.56
S014,Nowon Station 3,Nowon,37.43028494247945,127.0504209028747,mixed,15,"8,9,12,13,17,18,19",all,0.46
S015,Eunpyeong Station 1,Eunpyeong,37.68803567363533,126.95838332280414,mixed,37,"8,9,12,13,17,18,19",all,0.64
S016,Nowon Station 6,Nowon,37.651337594822316,127.03902945736077,recreation,38,"10,11,12,13,14,15,16,17",weekend,0.55
S017,Nowon Station 4,Nowon,37.644215512396364,127.01775834369143,recreation,40,"10,11,12,13,14,15,16,17",weekend,0.61
S018,Seodaemun Station 4,Seodaemun,37.596337818438926,126.93344490416226,mixed,15,"8,9,12,13,17,18,19",all,0.58
S019,Gangnam Station 7,Gangnam,37.48057072645024,126.8062504578296,business,38,"8,9,17,18,19",weekday,0.9
S020,Seodaemun Station 5,Seodaemun,37.56511290266939,127.10860517896299,transit,46,"7,8,9,17,18,19,20",weekday,0.71
S021,Nowon Station 6,Nowon,37.587236740280495,126.92873341169549,residential,18,"7,8,18,19,20",all,0.5
S022,Yeongdeungpo Station 3,Yeongdeungpo,37.56700882024088,127.10751425734284,business,36,"8,9,17,18,19",weekday,0.99
S023,Yongsan Station 6,Yongsan,37.49286534302643,126.88100349987536,mixed,15,"8,9,12,13,17,18,19",all,0.43
S024,Nowon Station 8,Nowon,37.564269418808124,126.78041179193825,mixed,27,"8,9,12,13,17,18,19",all,0.48
S025,Seodaemun Station 8,Seodaemun,37.55753217544322,126.84357531331071,residential,35,"7,8,18,19,20",all,0.52
S026,Yeongdeungpo Station 8,Yeongdeungpo,37.698974017225886,126.96741576670743,business,26,"8,9,17,18,19",weekday,0.9
S027,Seodaemun Station 6,Seodaemun,37.67128212145294,127.15772145398314,residential,25,"7,8,18,19,20",all,0.52
S028,Eunpyeong Station 5,Eunpyeong,37.549746609500374,126.82087744787749,residential,28,"7,8,18,19,20",all,0.36
S029,Mapo Station 8,Mapo,37.59442246722183,127.12168390978464,recreation,26,"10,11,12,13,14,15,16,17",weekend,0.4
S030,Dongdaemun Station 9,Dongdaemun,37.629404049145826,126.99080963848475,residential,18,"7,8,18,19,20",all,0.61
S031,Seocho Station 2,Seocho,37.42976224486547,127.11036830631997,residential,19,"7,8,18,19,20",all,0.68
S032,Seodaemun Station 3,Seodaemun,37.670578003543795,126.899349772396,transit,43,"7,8,9,17,18,19,20",weekday,0.76
S033,Seocho Station 10,Seocho,37.660835508597025,127.115978865869,mixed,35,"8,9,12,13,17,18,19",all,0.62
S034,Jongno Station 2,Jongno,37.54808098737664,127.08912911200673,business,38,"8,9,17,18,19",weekday,0.57
S035,Seodaemun Station 5,Seodaemun,37.529527534502506,126.87202147321257,transit,38,"7,8,9,17,18,19,20",weekday,0.77
S036,Mapo Station 3,Mapo,37.49642862495977,126.83253405056375,transit,38,"7,8,9,17,18,19,20",weekday,0.7
S037,Seocho Station 9,Seocho,37.553469511932505,127.12722172901292,recreation,32,"10,11,12,13,14,15,16,17",weekend,0.76
S038,Nowon Station 4,Nowon,37.43242546578931,127.16529466137607,residential,28,"7,8,18,19,20",all,0.37
S039,Seodaemun Station 5,Seodaemun,37.658614189337165,126.792520925499,residential,33,"7,8,18,19,20",all,0.69
S040,Gangnam Station 2,Gangnam,37.42991826315719,127.07250802678948,transit,41,"7,8,9,17,18,19,20",weekday,0.74
S041,Dongdaemun Station 2,Dongdaemun,37.512134382303564,127.14380980437913,residential,34,"7,8,18,19,20",all,0.52
S042,Mapo Station 1,Mapo,37.68084505672932,127.12294403683701,residential,23,"7,8,18,19,20",all,0.4
S043,Seocho Station 9,Seocho,37.62585954326657,127.16580818890809,residential,27,"7,8,18,19,20",all,0.45
S044,Mapo Station 1,Mapo,37.49878946896171,127.08403763137524,residential,21,"7,8,18,19,20",all,0.55
S045,Yeongdeungpo Station 10,Yeongdeungpo,37.49074174630905,126.95691950495237,business,33,"8,9,17,18,19",weekday,0.87
S046,Dongdaemun Station 10,Dongdaemun,37.42142299914905,126.90478079619805,residential,32,"7,8,18,19,20",all,0.55
S047,Nowon Station 7,Nowon,37.614800001997935,126.90829709617526,residential,32,"7,8,18,19,20",all,0.4
S048,Seodaemun Station 10,Seodaemun,37.43365940286849,127.06976906904565,residential,30,"7,8,18,19,20",all,0.44
S049,Seodaemun Station 4,Seodaemun,37.56912870543221,127.07833480481239,mixed,20,"8,9,12,13,17,18,19",all,0.55
S050,Seodaemun Station 1,Seodaemun,37.689394152325775,126.86014365741948,residential,26,"7,8,18,19,20",all,0.48
S051,Dongdaemun Station 9,Dongdaemun,37.45065128081525,127.12724912539622,mixed,32,"8,9,12,13,17,18,19",all,0.56
S052,Gangnam Station 5,Gangnam,37.67045438067106,127.0659696160809,business,37,"8,9,17,18,19",weekday,0.94
S053,Jongno Station 9,Jongno,37.697613093840616,127.00510011453736,transit,45,"7,8,9,17,18,19,20",weekday,0.68
S054,Yongsan Station 9,Yongsan,37.43722476734699,126.968612984041,mixed,23,"8,9,12,13,17,18,19",all,0.53
S055,Eunpyeong Station 8,Eunpyeong,37.66721375535849,126.99729312231598,mixed,24,"8,9,12,13,17,18,19",all,0.51
S056,Seocho Station 3,Seocho,37.56450212572422,126.84369829531171,residential,33,"7,8,18,19,20",all,0.55
S057,Gangnam Station 6,Gangnam,37.67382384144449,126.86148049971051,business,31,"8,9,17,18,19",weekday,0.77
S058,Nowon Station 7,Nowon,37.579969303737485,126.81646579616248,recreation,39,"10,11,12,13,14,15,16,17",weekend,0.5
S059,Seocho Station 4,Seocho,37.60539136282984,126.84146321526444,recreation,37,"10,11,12,13,14,15,16,17",weekend,0.76
S060,Seodaemun Station 10,Seodaemun,37.572258094239274,126.96147745384212,transit,42,"7,8,9,17,18,19,20",weekday,0.8
S061,Mapo Station 5,Mapo,37.66205800648606,126.99214175749131,residential,19,"7,8,18,19,20",all,0.67
S062,Nowon Station 3,Nowon,37.62549477730704,126.78714475699132,residential,18,"7,8,18,19,20",all,0.56
S063,Seocho Station 8,Seocho,37.56595288741052,127.09871913114561,recreation,38,"10,11,12,13,14,15,16,17",weekend,0.7
S064,Seodaemun Station 9,Seodaemun,37.663085025134436,126.8976671893374,residential,22,"7,8,18,19,20",all,0.48
S065,Seocho Station 9,Seocho,37.48867994903149,127.14473441398397,residential,29,"7,8,18,19,20",all,0.51
S066,Mapo Station 2,Mapo,37.46405538471671,127.16700450544552,recreation,40,"10,11,12,13,14,15,16,17",weekend,0.64
S067,Seodaemun Station 7,Seodaemun,37.464912029492424,126.85418354987067,residential,20,"7,8,18,19,20",all,0.47
S068,Jongno Station 6,Jongno,37.51352248604867,126.96483891630626,mixed,18,"8,9,12,13,17,18,19",all,0.61
S069,Gangnam Station 9,Gangnam,37.48683320876429,126.78049273406657,transit,36,"7,8,9,17,18,19,20",weekday,0.84
S070,Yeongdeungpo Station 1,Yeongdeungpo,37.68042529814273,127.01933090604898,business,36,"8,9,17,18,19",weekday,0.82
S071,Eunpyeong Station 4,Eunpyeong,37.449633546272004,127.02292257930507,residential,27,"7,8,18,19,20",all,0.41
S072,Dongdaemun Station 10,Dongdaemun,37.615717406651086,126.87901598224136,recreation,40,"10,11,12,13,14,15,16,17",weekend,0.56
S073,Eunpyeong Station 3,Eunpyeong,37.4729820311398,127.00336506903328,recreation,25,"10,11,12,13,14,15,16,17",weekend,0.61
S074,Nowon Station 9,Nowon,37.6668583971757,126.8702160569775,residential,32,"7,8,18,19,20",all,0.38
S075,Eunpyeong Station 3,Eunpyeong,37.689168280691774,126.84433018763127,residential,34,"7,8,18,19,20",all,0.39
S076,Seodaemun Station 8,Seodaemun,37.5503316024556,127.04060778672091,mixed,37,"8,9,12,13,17,18,19",all,0.52
S077,Jongno Station 3,Jongno,37.66614001446388,126.91037018558083,business,41,"8,9,17,18,19",weekday,0.62
S078,Yeongdeungpo Station 3,Yeongdeungpo,37.42144064781132,127.01610557555425,transit,52,"7,8,9,17,18,19,20",weekday,0.7
S079,Gangnam Station 10,Gangnam,37.64958513687427,126.95329869958867,business,21,"8,9,17,18,19",weekday,0.87
S080,Gangnam Station 10,Gangnam,37.48401504522698,127.17374056296117,business,25,"8,9,17,18,19",weekday,0.75
S081,Mapo Station 3,Mapo,37.67443636659542,126.83983225706703,residential,27,"7,8,18,19,20",all,0.49
S082,Dongdaemun Station 8,Dongdaemun,37.420313631214434,126.96583943865433,recreation,35,"10,11,12,13,14,15,16,17",weekend,0.47
S083,Seocho Station 6,Seocho,37.57573088581113,127.05218265054374,residential,15,"7,8,18,19,20",all,0.57
S084,Jongno Station 1,Jongno,37.631858025059785,126.93821803355199,business,45,"8,9,17,18,19",weekday,0.45
S085,Seocho Station 4,Seocho,37.49243273259542,127.16987994074829,residential,17,"7,8,18,19,20",all,0.62
S086,Yeongdeungpo Station 8,Yeongdeungpo,37.474077202084445,127.06875505117078,transit,56,"7,8,9,17,18,19,20",weekday,0.88
S087,Eunpyeong Station 4,Eunpyeong,37.44354750285104,127.04279354302581,residential,19,"7,8,18,19,20",all,0.36
S088,Gangnam Station 2,Gangnam,37.511401401420926,127.0828237070445,business,35,"8,9,17,18,19",weekday,0.92
S089,Yeongdeungpo Station 5,Yeongdeungpo,37.576756407446474,127.1610594552155,transit,59,"7,8,9,17,18,19,20",weekday,0.67
S090,Eunpyeong Station 6,Eunpyeong,37.45243627989847,127.14312746119386,recreation,34,"10,11,12,13,14,15,16,17",weekend,0.47
S091,Gangnam Station 4,Gangnam,37.52547470135631,127.06971412325056,mixed,28,"8,9,12,13,17,18,19",all,0.48
S092,Eunpyeong Station 1,Eunpyeong,37.422540273302765,127.07966465564051,residential,17,"7,8,18,19,20",all,0.37
S093,Dongdaemun Station 4,Dongdaemun,37.64923023773996,126.83836882961405,recreation,17,"10,11,12,13,14,15,16,17",weekend,0.65
S094,Jongno Station 9,Jongno,37.45596564106609,126.82111696179707,business,28,"8,9,17,18,19",weekday,0.65
