Id,Date,Hour,Temperature,Humidity,Wind_Speed,Visibility,Dew_Point,Solar_Radiation,Rainfall,Snowfall,Season,IsHoliday,IsFunctioningDay,Bikes_Rented
0,01/12/2017,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,Winter,0,1,254
1,01/12/2017,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,Winter,0,1,204
2,01/12/2017,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,Winter,0,1,173
3,01/12/2017,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,Winter,0,1,107
4,01/12/2017,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,Winter,0,1,78
5,01/12/2017,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,Winter,0,1,100
6,01/12/2017,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,Winter,0,1,181
8,01/12/2017,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,Winter,0,1,930
9,01/12/2017,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,Winter,0,1,490
10,01/12/2017,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,Winter,0,1,339
11,01/12/2017,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,Winter,0,1,360
12,01/12/2017,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,Winter,0,1,449
13,01/12/2017,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,Winter,0,1,451
14,01/12/2017,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,Winter,0,1,447
15,01/12/2017,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,Winter,0,1,463
16,01/12/2017,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,Winter,0,1,484
18,01/12/2017,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,Winter,0,1,862
19,01/12/2017,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,Winter,0,1,600
20,01/12/2017,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,Winter,0,1,426
22,01/12/2017,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,Winter,0,1,398
23,01/12/2017,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,Winter,0,1,323
24,02/12/2017,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,Winter,0,1,328
25,02/12/2017,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,Winter,0,1,308
26,02/12/2017,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,Winter,0,1,262
27,02/12/2017,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,Winter,0,1,167
29,02/12/2017,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,Winter,0,1,79
30,02/12/2017,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,Winter,0,1,70
31,02/12/2017,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,Winter,0,1,146
33,02/12/2017,9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,Winter,0,1,328
34,02/12/2017,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,Winter,0,1,334
35,02/12/2017,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,Winter,0,1,388
36,02/12/2017,12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,Winter,0,1,479
37,02/12/2017,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,Winter,0,1,606
38,02/12/2017,14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,Winter,0,1,611
40,02/12/2017,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,Winter,0,1,618
41,02/12/2017,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,Winter,0,1,572
42,02/12/2017,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,Winter,0,1,489
43,02/12/2017,19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,Winter,0,1,385
44,02/12/2017,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,Winter,0,1,359
46,02/12/2017,22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,Winter,0,1,354
47,02/12/2017,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,Winter,0,1,366
